./3nr7/Refine_PhenixStart_MaxRes50_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.025    2.378    0.305
./3nr7/Refine_PhenixStart_MaxRes50_Refine_PhenixStart_MaxItRef200.dat:Overall  min/max/mean:    0.006    0.885    0.133
./3nr7/Refine_PhenixStart_MaxRes50_Refine_Step03.dat:Overall  min/max/mean:    0.021    3.085    0.464
./3nr7/Refine_PhenixStart_MaxRes50_Refine_Step05.dat:Overall  min/max/mean:    0.016    2.702    0.349
./3nr7/Refine_PhenixStart_Step03_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.024    2.360    0.296
./3nr7/Refine_PhenixStart_Step03_Refine_PhenixStart_MaxItRef200.dat:Overall  min/max/mean:    0.006    0.860    0.125
./3nr7/Refine_PhenixStart_Step03_Refine_Step03.dat:Overall  min/max/mean:    0.028    3.061    0.459
./3nr7/Refine_PhenixStart_Step03_Refine_Step05.dat:Overall  min/max/mean:    0.017    2.680    0.341
./3nr7/Refine_PhenixStart_Step05_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.017    2.335    0.299
./3nr7/Refine_PhenixStart_Step05_Refine_PhenixStart_MaxItRef200.dat:Overall  min/max/mean:    0.006    0.857    0.133
./3nr7/Refine_PhenixStart_Step05_Refine_Step03.dat:Overall  min/max/mean:    0.027    3.030    0.456
./3nr7/Refine_PhenixStart_Step05_Refine_Step05.dat:Overall  min/max/mean:    0.017    2.652    0.340
./3nr7/Refine_Step03_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.013    2.055    0.377
./3nr7/Refine_Step03_Refine_PhenixStart_MaxItRef200.dat:Overall  min/max/mean:    0.014    3.345    0.479
./3nr7/Refine_Step03_Refine_Step03.dat:Overall  min/max/mean:    0.000    0.000    0.000
./3nr7/Refine_Step03_Refine_Step05.dat:Overall  min/max/mean:    0.008    1.253    0.203
./3nr7/Refine_Step05_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.015    1.093    0.189
./3nr7/Refine_Step05_Refine_PhenixStart_MaxItRef200.dat:Overall  min/max/mean:    0.018    2.947    0.346
./3nr7/Refine_Step05_Refine_Step03.dat:Overall  min/max/mean:    0.008    1.253    0.203
./3nr7/Refine_Step05_Refine_Step05.dat:Overall  min/max/mean:    0.000    0.000    0.000
./3wap/Refine_MaxItRef200_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.000    0.000    0.000
./3wap/Refine_MaxItRef200_Refine_Step03.dat:Overall  min/max/mean:    0.006    2.102    0.235
./3wap/Refine_MaxItRef200_Refine_Step05.dat:Overall  min/max/mean:    0.007    2.443    0.460
./3wap/Refine_MaxRes50_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.003    2.162    0.241
./3wap/Refine_MaxRes50_Refine_Step03.dat:Overall  min/max/mean:    0.002    0.321    0.037
./3wap/Refine_MaxRes50_Refine_Step05.dat:Overall  min/max/mean:    0.011    1.675    0.298
./3wap/Refine_PhenixStart_MaxRes50_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.024    3.618    0.398
./3wap/Refine_PhenixStart_MaxRes50_Refine_Step03.dat:Overall  min/max/mean:    0.017    3.178    0.257
./3wap/Refine_PhenixStart_MaxRes50_Refine_Step05.dat:Overall  min/max/mean:    0.012    3.380    0.311
./3wap/Refine_PhenixStart_Step03_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.011    3.535    0.472
./3wap/Refine_PhenixStart_Step03_Refine_Step03.dat:Overall  min/max/mean:    0.008    3.028    0.328
./3wap/Refine_PhenixStart_Step03_Refine_Step05.dat:Overall  min/max/mean:    0.007    3.142    0.182
./3wap/Refine_PhenixStart_Step05_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.019    3.617    0.387
./3wap/Refine_PhenixStart_Step05_Refine_Step03.dat:Overall  min/max/mean:    0.010    3.190    0.249
./3wap/Refine_PhenixStart_Step05_Refine_Step05.dat:Overall  min/max/mean:    0.010    3.393    0.324
./3wap/Refine_Step03_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.006    2.102    0.235
./3wap/Refine_Step03_Refine_Step03.dat:Overall  min/max/mean:    0.000    0.000    0.000
./3wap/Refine_Step03_Refine_Step05.dat:Overall  min/max/mean:    0.012    1.643    0.299
./3wap/Refine_Step05_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.007    2.443    0.460
./3wap/Refine_Step05_Refine_Step03.dat:Overall  min/max/mean:    0.012    1.643    0.299
./3wap/Refine_Step05_Refine_Step05.dat:Overall  min/max/mean:    0.000    0.000    0.000
./5kzb/Refine_MaxItRef200_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.000    0.000    0.000
./5kzb/Refine_MaxItRef200_Refine_Step03.dat:Overall  min/max/mean:    0.000    0.080    0.009
./5kzb/Refine_MaxItRef200_Refine_Step05.dat:Overall  min/max/mean:    0.001    0.044    0.012
./5kzb/Refine_MaxRes50_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.009    1.242    0.166
./5kzb/Refine_MaxRes50_Refine_Step03.dat:Overall  min/max/mean:    0.010    1.241    0.168
./5kzb/Refine_MaxRes50_Refine_Step05.dat:Overall  min/max/mean:    0.009    1.241    0.168
./5kzb/Refine_Step03_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.000    0.080    0.009
./5kzb/Refine_Step03_Refine_Step03.dat:Overall  min/max/mean:    0.000    0.000    0.000
./5kzb/Refine_Step03_Refine_Step05.dat:Overall  min/max/mean:    0.001    0.115    0.014
./5kzb/Refine_Step05_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.001    0.044    0.012
./5kzb/Refine_Step05_Refine_Step03.dat:Overall  min/max/mean:    0.001    0.115    0.014
./5kzb/Refine_Step05_Refine_Step05.dat:Overall  min/max/mean:    0.000    0.000    0.000
./5xsl/Refine_MaxItRef200_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.000    0.000    0.000
./5xsl/Refine_MaxItRef200_Refine_Step03.dat:Overall  min/max/mean:    0.010    2.445    0.272
./5xsl/Refine_MaxItRef200_Refine_Step05.dat:Overall  min/max/mean:    0.010    2.428    0.261
./5xsl/Refine_Step03_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.010    2.445    0.272
./5xsl/Refine_Step03_Refine_Step03.dat:Overall  min/max/mean:    0.000    0.000    0.000
./5xsl/Refine_Step03_Refine_Step05.dat:Overall  min/max/mean:    0.001    0.192    0.019
./5xsl/Refine_Step05_Refine_MaxItRef200.dat:Overall  min/max/mean:    0.010    2.428    0.261
./5xsl/Refine_Step05_Refine_Step03.dat:Overall  min/max/mean:    0.001    0.192    0.019
./5xsl/Refine_Step05_Refine_Step05.dat:Overall  min/max/mean:    0.000    0.000    0.000
